age,gender,education,income,sirius,wharton,worktime
28,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,18
33,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,20
28,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,15
36,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,20
27,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,15
46,Female,Graduate or professional degree,"$75,000 - $150,000",No,No,24
37,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,25
23,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,13
27,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,26
24,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,16
24,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,16
38,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,16
23,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,19
41,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,15
29,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,20
24,Male,Graduate or professional degree,"$15,000 - $30,000",Yes,No,14
44,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,23
31,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,14
52,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,26
28,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,17
24,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,24
33,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,14
38,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,Yes,23
51,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,37
30,Male,Less than 12 years; no high school diploma,"$15,000 - $30,000",Yes,No,19
21,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,Yes,25
49,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,25
24,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,27
43,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,25
36,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,15
46,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,22
36,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,21
30,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,24
34,Male,Graduate or professional degree,"Above $150,000",No,No,27
27,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,17
31,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,16
43,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,23
26,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,24
26,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,21
54,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,26
19,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,17
43,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,47
29,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,21
22,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,16
46,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
33,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,22
22,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,13
50,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,29
28,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,13
35,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,31
21,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,23
43,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,21
49,Male,High school graduate (or equivalent),"Above $150,000",No,No,40
32,Female,High school graduate (or equivalent),"$30,000 - $50,000",No,No,23
32,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,15
34,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,40
32,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,23
58,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,21
28,Female,Graduate or professional degree,"$30,000 - $50,000",No,No,19
32,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,Yes,17
25,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,14
26,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,14
42,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,25
47,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,22
31,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,12
29,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,20
39,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,25
23,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,23
26,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,40
22,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,31
24,Male,High school graduate (or equivalent),"$15,000 - $30,000",No,No,48
36,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,25
18,Male,High school graduate (or equivalent),"$75,000 - $150,000",Yes,Yes,15
49,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,18
30,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,15
31,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,24
40,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,36
39,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,20
40,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,66
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,14
30,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,19
21,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,18
49,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,16
40,Male,Graduate or professional degree,"$15,000 - $30,000",No,No,39
26,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,17
38,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,17
34,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,47
31,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,13
24,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,14
29,Female,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,16
34,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,25
26,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,42
48,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,17
30,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,15
41,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,19
30,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,15
29,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,24
21,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,13
38,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,17
38,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,27
35,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,25
34,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,12
24,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,Yes,9
41,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,Yes,32
22,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
19,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,25
35,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,53
39,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
21,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,19
23,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,23
45,Male,High school graduate (or equivalent),"$75,000 - $150,000",Yes,No,16
34,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,11
21,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,29
26,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,13
24,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,16
22,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
29,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,17
23,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,Yes,40
38,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,23
31,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,Yes,21
25,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,30
60,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,20
28,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,23
28,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,28
18,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,33
29,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,Yes,14
31,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,18
27,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,11
35,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,24
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,18
48,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,36
38,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,32
23,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,24
25,Male,Less than 12 years; no high school diploma,"Less than $15,000",Yes,No,23
29,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,Yes,39
33,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,26
32,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,22
34,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,20
21,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,35
39,Female,Less than 12 years; no high school diploma,"$15,000 - $30,000",No,No,29
22,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,14
35,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,42
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,15
25,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,17
26,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,18
34,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,15
26,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,49
22,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,14
25,Female,High school graduate (or equivalent),"$30,000 - $50,000",No,No,10
23,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,12
36,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,77
21,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,32
47,Female,High school graduate (or equivalent),"$75,000 - $150,000",No,No,28
34,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,36
29,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,23
27,Female,High school graduate (or equivalent),"$30,000 - $50,000",No,No,21
28,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,20
44,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,15
19,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,18
34,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
23,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,15
24,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,14
32,Male,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,16
31,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,17
24,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,21
25,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,10
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,14
35,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
22,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",No,No,12
22,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,19
29,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,13
27,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,20
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,29
66,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,34
27,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,27
45,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,24
36,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,19
28,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,20
28,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,Yes,18
22,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,13
18,Female,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,13
30,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,20
23,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,22
23,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,Yes,39
18,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,20
22,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,20
21,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,12
28,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,18
33,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,25
39,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,20
27,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,19
24,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,18
41,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,10
25,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,19
37,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,36
20,Male,"Some college, no diploma; or Associate’s degree","Above $150,000",No,No,30
66,Male,Graduate or professional degree,"$75,000 - $150,000",Yes,No,37
33,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,31
30,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,16
27,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,15
49,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,27
23,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,16
24,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,17
31,Male,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,26
45,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,24
28,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,19
34,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,14
46,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,20
33,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,22
19,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,38
29,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,39
42,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,35
28,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,15
41,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,19
23,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,20
33,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,48
24,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,24
26,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,19
23,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,21
25,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,13
28,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,Yes,12
28,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,20
27,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,19
32,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,20
20,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,11
30,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
22,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,24
39,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,21
33,Female,Graduate or professional degree,"$30,000 - $50,000",Yes,No,20
34,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,23
19,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,19
19,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,24
43,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",No,No,14
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,14
22,Male,High school graduate (or equivalent),"Less than $15,000",Yes,Yes,28
57,Female,Graduate or professional degree,"$75,000 - $150,000",Yes,No,27
26,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,17
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,8
19,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,20
31,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,20
26,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,13
25,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,18
26,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,28
19,Male,"Some college, no diploma; or Associate’s degree","Above $150,000",Yes,No,17
31,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,23
33,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,15
33,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,17
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,24
31,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,20
27,Male,Graduate or professional degree,"$15,000 - $30,000",Yes,No,27
20,Male,High school graduate (or equivalent),"Less than $15,000",Yes,No,27
29,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,23
34,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,14
20,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",No,No,15
22,Male,Bachelor’s degree or other 4-year degree,"Above $150,000",Yes,No,11
26,Female,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,26
21,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,23
68,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,34
26,Female,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,28
23,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,13
32,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,18
20,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
40,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
25,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,15
30,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,24
25,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,19
34,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,16
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,19
25,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,16
27,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,27
19,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,17
41,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,29
25,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,29
26,Male,High school graduate (or equivalent),"$30,000 - $50,000",Yes,No,11
62,Male,Graduate or professional degree,"$75,000 - $150,000",No,No,16
29,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,17
33,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,22
27,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,17
24,Male,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,24
27,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,31
58,Male,High school graduate (or equivalent),"$50,000 - $75,000",No,No,26
25,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,12
44,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,33
30,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,13
21,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,17
21,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,14
34,Female,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,58
24,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,23
24,Male,Bachelor’s degree or other 4-year degree,"Above $150,000",Yes,No,12
41,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",No,No,23
38,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,Yes,12
36,Female,"Some college, no diploma; or Associate’s degree","Less than $15,000",No,No,30
41,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,20
25,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,37
21,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,12
